번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),임산부정원수,영유아정원수,임산부실면적,영유아실면적,모유수유실면적,급식시설면적,세탁실면적,목욕실면적,조리원화장실면적,사무실면적,간호사수,간호조무사수,영양사수,취사부수,미화원수,기타인원수,건물층수,지상층수,지하층수,Unnamed: 47
13,산후조리업,01_01_04_P,3140000,PHMB120083140033042100001,2014-05-22,,2,휴업,2,휴업,,2021-05-03,2022-01-04,,,,,서울특별시 양천구 신월동 54번지 7호,"서울특별시 양천구 화곡로 64, 동화빌딩 2층 (신월동)",07904,동그라미산후조리원(강서점),2022-11-25 17:03:42,U,2022-11-27 02:40:00,,184806.911534822,448551.489178583,18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,
14,산후조리업,01_01_04_P,5710000,PHMB120225710106042100001,2022-05-31,,2,휴업,2,휴업,,2024-11-30,2025-11-30,,1644-3121,,,충청북도 청주시 상당구 용암동 1100-89 방서타워 5층 6층,"충청북도 청주시 상당구 무심동로 22, 방서타워 5층 6층 (용암동)",28789,더브이아이피산후조리원,2024-11-29 17:50:31,U,2024-12-01 02:40:00,,244667.68130352,345143.297678744,29,29,1158.4,69.9,0.0,38.0,16.4,0.0,0.0,28.3,2.0,6.0,1.0,1.0,2.0,2.0,8.0,6.0,2.0,
520,산후조리업,01_01_04_P,3620000,PHMB120063620020042100001,2006-12-13,,1,영업/정상,13,영업중,,,,,062-260-3237,,500-806,"광주광역시 북구 두암2동 822번지 10호 외 3필지, 822-4외 1필지","광주광역시 북구 면앙로170번길 10, 5.6.7층 (두암동)",61195,에덴병원산후조리원,2019-12-17 14:31:35,U,2019-12-19 02:40:00,,193498.804981732,186299.306086672,28,28,772.9,92.36,21.6,,,,,,7.0,10.0,,,,2.0,7.0,3.0,,
521,산후조리업,01_01_04_P,3450000,PHMB120063450022042100001,2006-12-04,,1,영업/정상,13,영업중,,,,,053-954-7771,,702-013,대구광역시 북구 산격3동 1287번지 4호,대구광역시 북구 동북로 196 (산격동),41535,신세계병원산후조리원,2022-01-03 16:59:37,U,2022-01-05 02:40:00,,345615.223575863,267580.220533827,20,20,268.0,42.5,17.7,240.4,16.3,3.0,79.3,8.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,
522,산후조리업,01_01_04_P,3450000,PHMB120173450022042100001,2017-05-08,,1,영업/정상,13,영업중,,,,,053-325-2900,,,대구광역시 북구 동천동 912-3 메가타운,"대구광역시 북구 학정로 415, 메가타운 6층 (동천동)",41423,정산후조리원,2025-04-25 13:48:09,U,2025-04-27 02:40:00,,340961.561190714,272411.512876902,20,20,338.7,37.4,16.1,41.0,17.1,0.0,17.1,15.1,2.0,8.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,
523,산후조리업,01_01_04_P,5370000,PHMB120115370025042100001,2011-01-12,,1,영업/정상,13,영업중,,,,,055-638-0037,,656-304,경상남도 거제시 고현동 970번지 18호,경상남도 거제시 거제중앙로 1925 (고현동),53252,엘르메디 여성의원 부설 산후조리원,2016-05-31 13:43:29,I,2018-08-31 23:59:59,,348200.72684869,155762.887861587,15,15,14.64,28.5,9.47,20.47,5.4,1.8,2.32,8.0,2.0,6.0,,4.0,1.0,1.0,4.0,4.0,,
524,산후조리업,01_01_04_P,5710000,PHMB120074360079042100003,2007-03-06,,1,영업/정상,13,영업중,,,,,043-262-8541,,,충청북도 청주시 서원구 사창동 143번지 2호,"충청북도 청주시 서원구 사직대로 101 (사창동, 민병열산부인과)",28575,민병열산부인과산후조리원,2018-07-13 13:38:03,I,2018-08-31 23:59:59,,240962.784642431,348324.140208788,20,20,398.66,66.58,26.85,,,,98.0,12.66,2.0,6.0,,,2.0,,2.0,2.0,,
525,산후조리업,01_01_04_P,5710000,PHMB120074360079042100002,2007-04-27,,1,영업/정상,13,영업중,,,,,043-239-0002,,361-805,충청북도 청주시 서원구 개신동 711번지,충청북도 청주시 서원구 복대로17번길 7-42 (개신동),28612,럭스엘리시아산후조리원,2024-01-29 20:40:52,U,2024-01-31 02:40:00,,239768.004743885,346333.747092714,57,57,15.55,122.7,8.58,51.39,22.44,1.61,1.61,12.4,4.0,23.0,1.0,9.0,5.0,3.0,3.0,3.0,0.0,
526,산후조리업,01_01_04_P,3180000,PHMB120143180034042100001,2014-12-05,,1,영업/정상,13,영업중,,,,,02-3667-3579,,150-096,서울특별시 영등포구 문래동6가 5번지 2호 문래아카데미,서울특별시 영등포구 선유로 59 (문래동6가),07281,주식회사 리더스 산후조리원,2020-12-18 15:20:10,U,2020-12-20 02:40:00,,190114.183690988,446343.489384602,20,20,412.0,47.0,7.6,25.0,9.0,3.38,3.38,11.7,3.0,16.0,0.0,1.0,1.0,1.0,9.0,6.0,3.0,
527,산후조리업,01_01_04_P,3180000,PHMB120153180034042100001,2015-05-15,,1,영업/정상,13,영업중,,,,,02-2068-6167,,150-038,서울특별시 영등포구 영등포동8가 80번지 1호,"서울특별시 영등포구 영중로 140 (영등포동8가, 영중로 140)",07226,더 아이리스 산후조리원,2024-03-22 14:29:36,U,2024-03-24 02:40:00,,191628.281133809,447397.380617328,14,14,294.0,27.1,12.0,10.1,13.0,0.0,4.0,5.6,3.0,7.0,0.0,2.0,1.0,1.0,9.0,4.0,0.0,
528,산후조리업,01_01_04_P,3210000,PHMB120063210034042100002,2006-12-06,,1,영업/정상,13,영업중,,,,,02-532-1633,,137-829,서울특별시 서초구 방배본동 783번지 26호 로얄쇼핑센터 3층,"서울특별시 서초구 동작대로 172 (방배동,로얄쇼핑센터 3층)",,(주)와이케이동그라미 레피리움 강남지점,2020-09-03 16:59:38,U,2020-09-05 02:40:00,,198438.338613832,443294.835938427,14,14,16.5,48.0,16.5,20.0,7.0,15.0,6.6,16.5,3.0,4.0,,,,,0.0,,,
529,산후조리업,01_01_04_P,3210000,PHMB120113210034042100001,2011-12-08,,1,영업/정상,13,영업중,,,,,537-3232,,,"서울특별시 서초구 반포동 107번지 45호 부림빌딩 7,8층","서울특별시 서초구 사평대로18길 10, 부림빌딩 7,8층 (반포동)",06575,서래 네송스 산후조리원,2023-12-05 11:53:35,U,2023-12-07 02:40:00,,199540.058557374,444026.800198634,8,8,551.0,106.0,37.0,50.0,38.0,168.0,9.5,27.0,4.0,19.0,0.0,2.0,2.0,4.0,10.0,9.0,1.0,
530,산후조리업,01_01_04_P,3210000,PHMB120123210034042100001,2012-02-01,,1,영업/정상,13,영업중,,,,,02-533-6169,,137-855,서울특별시 서초구 서초4동 1302번지 4호 2~6층,서울특별시 서초구 서운로 216 (서초동),06609,(주)사임당아모리움산후조리원,2020-09-03 16:58:46,U,2020-09-05 02:40:00,,201862.357603246,444462.626124882,28,28,547.8,68.32,24.33,30.54,15.2,79.2,60.0,38.5,6.0,8.0,,1.0,1.0,,8.0,6.0,2.0,
531,산후조리업,01_01_04_P,3210000,PHMB120123210034042100002,2012-05-24,,1,영업/정상,13,영업중,,2019-06-01,2019-06-24,,535-3853,,137-803,서울특별시 서초구 반포4동 54번지 1호 쌍동빌딩서관 6층,"서울특별시 서초구 고무래로 22 (반포동, 쌍동빌딩서관 6층)",06593,(주)센트리움산후조리원,2019-07-04 11:10:53,U,2019-07-06 02:40:00,,200878.342248065,444477.688306142,17,18,417.04,46.0,10.0,41.44,10.3,,3.08,16.04,4.0,5.0,1.0,1.0,1.0,1.0,6.0,6.0,,
532,산후조리업,01_01_04_P,3230000,PHMB120173230034042100001,2017-01-31,,1,영업/정상,13,영업중,,,,,02-6425-1600,,,,서울특별시 송파구 양재대로60길 3 (가락동),05708,포유문산후조리원,2017-02-02 08:53:55,I,2018-08-31 23:59:59,,210251.590527245,444061.408532921,23,23,340.08,39.3,14.57,54.95,17.2,,4.9,6.7,2.0,5.0,,1.0,2.0,,6.0,6.0,,
533,산후조리업,01_01_04_P,3230000,PHMB120143230034042100001,2014-02-27,,1,영업/정상,13,영업중,,,,,024313535,,,,"서울특별시 송파구 충민로2길 20 (장지동, 송파산모건강증진센터)",05816,송파산모건강증진센터산후조리원,2023-04-18 11:16:05,U,2023-05-26 08:48:36,,211175.385231398,441756.484407528,27,27,407.33,68.7,6.88,68.7,17.96,0.0,15.25,18.18,6.0,16.0,0.0,5.0,6.0,9.0,3.0,3.0,0.0,
534,산후조리업,01_01_04_P,3230000,PHMB120163230034042100001,2016-04-05,,1,영업/정상,13,영업중,,2024-11-18,2024-11-22,,02-413-0035,,,서울특별시 송파구 석촌동 24번지 3호 201호,"서울특별시 송파구 석촌호수로 210, 201호 (석촌동)",05611,베르사유산후조리원,2024-11-21 15:58:41,U,2024-11-23 02:40:00,,208805.042539137,444931.840306527,10,11,220.2,35.2,10.55,41.44,0.0,0.0,19.75,0.0,3.0,4.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,
535,산후조리업,01_01_04_P,3230000,PHMB120073230034042100002,2007-02-08,,1,영업/정상,13,영업중,,,,,02-3401-3838,,138-110,서울특별시 송파구 거여동 293번지 1호 6층,"서울특별시 송파구 양산로 12 (거여동, 6층)",05787,(주)푸른잎산후조리원,2019-04-30 15:05:29,U,2019-05-02 02:40:00,,212631.968657493,443089.54324724,16,16,,38.4,,,,,,,3.0,7.0,,,,3.0,1.0,1.0,,
536,산후조리업,01_01_04_P,3230000,PHMB120093230034042100001,2009-07-02,,1,영업/정상,13,영업중,,,,,414-3322,,138-840,서울특별시 송파구 삼전동 111번지 선프라지빌딩6.7층,"서울특별시 송파구 석촌호수로 156 (삼전동, 선플라자빌딩 6,7층)",05601,라렌느산후조리원,2024-07-15 09:13:43,U,2024-07-17 02:40:00,,208265.829073588,444957.463368081,19,19,302.79,33.41,13.3,32.59,9.62,3.77,0.0,8.2,4.0,4.0,0.0,1.0,0.0,0.0,8.0,7.0,1.0,
537,산후조리업,01_01_04_P,3230000,PHMB120103230034042100001,2010-03-23,,1,영업/정상,13,영업중,,,,,4843710,,138-190,"서울특별시 송파구 석촌동 182번지 2호 4,5층","서울특별시 송파구 송파대로49길 3 (석촌동, 4,5층)",05609,라벨메르산후조리원,2018-08-31 09:50:19,I,2018-08-31 23:59:59,,209121.451763903,445062.865258396,15,15,378.57,52.31,9.82,,,,,,4.0,6.0,,,,,0.0,,,
538,산후조리업,01_01_04_P,3230000,PHMB120113230034042100001,2011-05-13,,1,영업/정상,13,영업중,,,,,02-3401-1004,,138-855,서울특별시 송파구 오금동 4번지 14호,"서울특별시 송파구 중대로 317, 세우빌딩 3,4층 (오금동)",05654,소피아산후조리원,2021-07-14 10:54:22,U,2021-07-16 02:40:00,,211725.257519354,445195.482107596,20,20,320.0,54.0,20.0,57.0,10.0,33.0,66.0,10.0,4.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,
539,산후조리업,01_01_04_P,3230000,PHMB120123230034042100001,2012-09-19,,1,영업/정상,13,영업중,,,,,1661-3118,,,,서울특별시 송파구 마천로 4(방이동),05645,레이나 산후조리원,2022-11-01 14:11:26,U,2022-11-03 02:40:00,,210671.706889754,445341.424867275,25,26,613.6,84.2,0.0,105.92,10.6,0.0,15.9,0.0,3.0,12.0,0.0,3.0,0.0,5.0,9.0,7.0,2.0,
540,산후조리업,01_01_04_P,3010000,PHMB120143010033042100001,2014-12-31,,1,영업/정상,13,영업중,,,,,0222316375,,,,"서울특별시 중구 다산로36길 11, 동산빌딩 6,7층 (신당동)",04585,더드림산후조리원,2023-07-31 13:48:10,U,2023-08-02 02:40:00,,201362.695573425,451177.222462071,12,12,255.0,28.17,2.5,0.0,9.0,0.0,8.0,0.0,4.0,9.0,0.0,0.0,1.0,0.0,7.0,7.0,0.0,
541,산후조리업,01_01_04_P,3010000,PHMB120163010033042100001,2016-12-16,,1,영업/정상,13,영업중,,,,,0260121010,,,서울특별시 중구 중림동 150-1 이화빌딩(중림동),"서울특별시 중구 중림로 31, 이화빌딩(중림동) 1층 (중림동)",04506,와튼젤리 산후조리원(용산마포점),2024-05-16 16:06:46,U,2024-05-18 02:40:00,,197028.380586459,450675.687036134,19,19,621.26,57.82,14.25,24.44,19.73,53.2,53.2,15.76,4.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,
542,산후조리업,01_01_04_P,4090000,PHMB120194090023042100001,2019-01-14,,1,영업/정상,13,영업중,,,,,031-8049-3535,,415-711,경기도 김포시 장기동 2079번지 3호,경기도 김포시 태장로 808 (장기동),415-711,(주)한강가온누리산후조리원,2020-04-07 09:23:07,U,2020-04-09 02:40:00,,171495.685899963,459517.940179765,20,20,697.8,76.5,,35.3,8.8,,8.9,15.6,3.0,3.0,,1.0,1.0,1.0,0.0,,,
543,산후조리업,01_01_04_P,5680000,PHMB120235680060042100002,2023-08-25,,1,영업/정상,13,영업중,,,,,041-353-8483,,,충청남도 당진시 읍내동 1059,충청남도 당진시 시청1로 72 (읍내동),31772,도로시 산후조리원,2023-08-25 19:13:05,I,2023-08-27 00:18:30,,167804.635276857,376696.429888265,7,7,232.0,35.0,18.0,27.0,11.5,54.2,31.9,32.2,2.0,4.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,
544,산후조리업,01_01_04_P,3740000,PHMB120233740106042100001,2023-08-16,,1,영업/정상,13,영업중,,,,,,,,경기도 수원시 영통구 신동 503-2,경기도 수원시 영통구 삼성로 34 (신동),16681,리베르리움 산후조리원,2023-08-16 10:58:36,I,2023-08-19 00:19:05,,204289.164583219,416181.137128472,39,39,936.0,102.0,26.0,65.0,28.0,5.0,5.0,19.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
545,산후조리업,01_01_04_P,3170000,PHMB120063170035042100002,2006-12-20,,1,영업/정상,13,영업중,,,,,02-851-1566,,,서울특별시 금천구 독산동 152-6 삼희빌딩,"서울특별시 금천구 시흥대로 429, 삼희빌딩 3층 (독산동)",08535,VIP산후조리원,2024-01-19 13:53:28,U,2024-01-21 02:40:00,,190878.547242333,441091.373561528,12,12,11.3,21.5,0.0,10.5,5.4,2.3,2.3,3.4,3.0,6.0,0.0,2.0,1.0,1.0,10.0,3.0,7.0,
546,산후조리업,01_01_04_P,3470000,PHMB120083470022042100002,2008-05-09,,1,영업/정상,13,영업중,,,,,053-656-8575,,,대구광역시 달서구 성당동 825번지 19호,"대구광역시 달서구 구마로 201, 2,3,4층 (성당동)",42681,(주)김혜정,2018-10-31 16:05:30,U,2018-11-02 02:35:42,,339957.400129756,260818.882308772,23,24,341.57,44.88,16.14,53.86,18.43,,,,5.0,12.0,,1.0,1.0,1.0,3.0,3.0,0.0,
547,산후조리업,01_01_04_P,3470000,PHMB120123470022042100002,2012-04-18,,1,영업/정상,13,영업중,,,,,608-7200,,704-932,대구광역시 달서구 죽전동 274번지 7호,대구광역시 달서구 와룡로 203 (죽전동),42633,미래산후조리원(신미래->미래),2018-12-11 09:15:48,U,2018-12-13 02:40:00,,338761.1523362,262278.904297459,26,26,518.1,46.5,29.0,86.25,6.8,10.8,2.9,12.2,7.0,8.0,,2.0,3.0,,0.0,,,
548,산후조리업,01_01_04_P,3470000,PHMB120133470022042100001,2013-11-18,,1,영업/정상,13,영업중,,,,,053-583-7447,,704-142,대구광역시 달서구 이곡2동 1220번지 2호,대구광역시 달서구 이곡서로 11 (이곡동),,꿈담산후조리원,2021-02-17 13:16:02,U,2021-02-19 02:40:00,,335948.076728948,262555.564195146,17,17,388.42,30.3,14.25,71.47,6.01,,30.68,19.77,2.0,3.0,,2.0,,,0.0,,,
549,산후조리업,01_01_04_P,3470000,PHMB120143470022042100001,2014-03-19,,1,영업/정상,13,영업중,,,,,1877-6622,,704-834,대구광역시 달서구 진천동 57번지 15호 6-8,"대구광역시 달서구 월배로 141, 6-8층 (진천동)",42784,여성아이산후조리원,2024-03-05 11:40:14,U,2024-03-07 02:40:00,,338178.866316469,258401.901563391,41,41,802.7,70.6,30.3,78.6,0.0,0.0,185.7,55.7,7.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
550,산후조리업,01_01_04_P,3480000,PHMB120143480012042100001,2014-06-30,,1,영업/정상,13,영업중,,,,,053-592-3575,,711-815,대구광역시 달성군 다사읍 죽곡리 807번지 3호,대구광역시 달성군 다사읍 달구벌대로 874,42918,로즈맘산후조리원,2014-07-02 11:41:59,I,2018-08-31 23:59:59,,332226.263646327,262968.38265281,19,19,296.39,34.11,8.67,,,,3.56,14.2,3.0,8.0,0.0,0.0,0.0,,8.0,7.0,1.0,
551,산후조리업,01_01_04_P,3480000,PHMB120173480012042100002,2017-09-11,,1,영업/정상,13,영업중,,,,,053-627-5555,,,,"대구광역시 달성군 유가읍 테크노순환로12길 4, 프로마드레 산후조리원 6,7층 608,609,610,611,701호",42994,프로마드레 산후조리원,2019-07-25 17:03:34,U,2019-07-27 02:40:00,,332873.58844066,244686.529495474,28,28,783.64,60.74,21.68,70.45,9.05,,4.69,13.4,2.0,5.0,,1.0,1.0,1.0,0.0,,,
552,산후조리업,01_01_04_P,3470000,PHMB120173470022042100001,2017-06-16,,1,영업/정상,13,영업중,,,,,053-636-2221,,,대구광역시 달서구 진천동 635번지 1호,대구광역시 달서구 월배로 58 (진천동),42771,리엘산후조리원,2023-05-24 10:27:44,U,2023-05-26 02:40:00,,337402.627118507,258059.908198172,25,25,611.06,54.67,19.6,0.0,47.4,8.64,0.0,0.0,5.0,10.0,0.0,4.0,3.0,1.0,2.0,2.0,0.0,
553,산후조리업,01_01_04_P,3450000,PHMB120073450022042100001,2007-03-30,,1,영업/정상,13,영업중,,2021-03-01,2021-04-30,,053-210-7737,,702-250,대구광역시 북구 동천동 952번지 2호,대구광역시 북구 팔거천동로 215 (동천동),41422,로즈마리산후조리원,2021-05-10 14:07:50,U,2021-05-12 02:40:00,,340489.571646905,272557.05672629,22,22,498.5,41.7,17.0,44.0,14.4,,61.8,10.8,3.0,7.0,,,,1.0,2.0,2.0,,
554,산후조리업,01_01_04_P,3450000,PHMB120143450022042100001,2014-04-29,,1,영업/정상,13,영업중,,,,,053-314-0113,,702-885,대구광역시 북구 동천동 893번지,"대구광역시 북구 팔거천동로 218, 4~7층 (동천동)",41423,웰(well)산후조리원,2024-07-16 15:51:32,U,2024-07-18 02:40:00,,340562.748461286,272571.825203079,28,28,666.65,61.91,34.99,77.4,24.32,0.0,0.0,21.45,4.0,6.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,
555,산후조리업,01_01_04_P,5070000,PHMB120145070014042100002,2014-12-19,,1,영업/정상,13,영업중,,,,,054-850-8114,,,경상북도 안동시 금곡동 180번지 안동성소병원,"경상북도 안동시 서동문로 99, 안동성소병원 (금곡동)",36690,안동성소병원 산후조리원,2024-05-09 16:49:46,U,2024-05-11 02:40:00,,354105.04887033,342115.414454307,12,12,113.0,21.8,11.3,6.7,6.5,7.9,70.8,1.5,2.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
556,산후조리업,01_01_04_P,4500000,PHMB120094500029042100001,2009-07-23,,1,영업/정상,13,영업중,,,,,041-840-1080,,314-802,충청남도 공주시 신관동 26번지 26외2필지(8층),충청남도 공주시 번영1로 124 (신관동),32581,공주제일메디컬센터미앤맘산후조리원,2009-07-24 13:10:25,I,2018-08-31 23:59:59,,212582.450113633,330354.191031752,14,14,200.0,20.0,0.0,0.0,6.0,3.0,8.0,5.85,2.0,6.0,0.0,0.0,2.0,,8.0,8.0,0.0,
557,산후조리업,01_01_04_P,5680000,PHMB120114630020042100002,2011-12-01,,1,영업/정상,13,영업중,,,,,041)355-4800,,,충청남도 당진시 수청동 992번지,"충청남도 당진시 당진중앙2로 415, 7,8층 (수청동)",31771,미즈맘산후조리원,2019-10-18 13:36:15,U,2019-10-20 02:40:00,,168310.215696587,377732.620348873,14,14,352.0,36.0,10.4,45.0,17.7,5.5,,9.0,4.0,8.0,,2.0,1.0,,0.0,3.0,,
558,산후조리업,01_01_04_P,4600000,PHMB120134600019042100001,2013-04-12,,1,영업/정상,13,영업중,,,,,041-630-6114,,,충청남도 홍성군 홍성읍 고암리 572-3 홍성의료원,"충청남도 홍성군 홍성읍 조양로 224, 홍성의료원 1층",32232,충남 홍성 공공산후조리원,2023-02-06 10:35:17,U,2023-02-08 02:40:00,,170791.478698917,344251.448252554,8,9,199.6,40.0,10.5,23.0,0.0,0.0,0.0,32.0,6.0,3.0,0.0,1.0,0.0,0.0,6.0,5.0,1.0,
