암호화요양기호,요양기관명,종별코드명,시도코드명,시군구코드명,주소,전화번호,총의사수,난임시술(인공),난임시술(체외),난임시술(전체),제공시술유형
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNjEjJDEjJDQjJDgz,계명대학교동산병원,상급종합,대구,대구달서구,"대구광역시 달서구 달구벌대로 1035, (신당동)",1577-6622,245,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,고려대학교의과대학부속구로병원,상급종합,서울,구로구,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",02-2626-1114,374,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjEwMDIjNTEjJDEjJDIjJDgz,고려대학교의과대학부속안산병원,상급종합,경기,안산단원구,"경기도 안산시 단원구 적금로 123, (고잔동)",031-1577-7516,284,1,1,1,인공+체외
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ5OSQzNjEwMDIjNDEjJDEjJDQjJDgz,광안자모병원,병원,부산,부산수영구,"부산광역시 수영구 수영로 555, (광안동)",051-760-0600,13,1,0,0,인공수정
JDQ4MTYyMiM3MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQzIyQwMyQyNjEyMjIjNjEjJDEjJDQjJDgz,광주미래와희망산부인과의원,의원,광주,광주서구,"광주광역시 서구 죽봉대로 68, 7층 (농성동, 다나메디컬센타)",062-361-3344,3,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQyNjEwMDIjODEjJDEjJDIjJDgz,국립중앙의료원,종합병원,서울,중구,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",02-2260-7114,178,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQzNjE4MzIjODEjJDEjJDIjJDgz,국민건강보험공단일산병원,종합병원,경기,고양일산동구,"경기도 고양시 일산동구 일산로 100, (백석동,백석1동 1241외1필지 4층)",1577-0013,231,1,0,0,인공수정
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQyIyQ1IyQwMCQyNjEwMDIjNDEjJDEjJDQjJDgz,그랑본여성의원,의원,경기,화성시,"경기도 화성시 동탄대로5길 9, 그랑파사쥬 4027~4045호 (송동)",031-377-1677,4,1,0,0,인공수정
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ3MiQyNjEyMjIjNzEjJDEjJDgjJDgz,그레이스병원,병원,경기,고양일산동구,"경기도 고양시 일산동구 중앙로 1073, (지하2층,지하1층,1층중일부,2~9층)/중앙로1071(1층중 일부, 2~4층) (백석동)",031-901-4000,28,1,1,1,인공+체외
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMTkxIzQxIyQxIyQ3IyQ3MiQ0NjE0ODEjODEjJDEjJDIjJDgz,그레이프산부인과의원,의원,전북,전주완산구,"전북특별자치도 전주시 완산구 효천중앙로 57, 모악빌딩 204~205호 (효자동2가)",063-227-7887,1,1,0,0,인공수정
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQyIyQxIyQwMCQzNjEwMDIjNTEjJDEjJDYjJDgz,그린산부인과의원,의원,인천,인천서구,"인천광역시 서구 건지로 371, (가좌동)",032-574-3535,7,1,0,0,인공수정
JDQ4MTYyMiM3MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQyIyQ5IyQwMCQyNjE0ODEjODEjJDEjJDIjJDgz,김정은산부인과의원,의원,광주,광주광산구,"광주광역시 광산구 목련로 379, 301A호 (신가동)",062-959-3773,1,1,0,0,인공수정
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ5MiQyNjEwMDIjNDEjJDEjJDQjJDgz,나리여성병원,병원,경기,김포시,"경기도 김포시 돌문로 99, 나리병원 (사우동)",031-982-5700,12,1,0,0,인공수정
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQzIyQ3MiQyNjE4MzIjODEjJDEjJDIjJDgz,나무정원여성병원,병원,경기,양주시,"경기도 양주시 평화로1489번길 19-11, (덕계동)",031-859-1231,12,1,0,0,인공수정
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQyNjEwMDIjNjEjJDEjJDgjJDgz,노원을지대학교병원,종합병원,서울,노원구,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",02-970-8000,142,1,1,1,인공+체외
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQ3IyQ3MiQzNjE4MzIjNjEjJDEjJDQjJDgz,뉴본여성의원,의원,부산,부산사하구,"부산광역시 사하구 낙동대로 234, 2~7, 10층 (괴정동, 조일빌딩)",051-291-7777,3,1,0,0,인공수정
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ3MiQyNjEwMDIjNTEjJDEjJDYjJDgz,달서미즈맘병원,병원,대구,대구달서구,"대구광역시 달서구 월배로 62, 미즈맘병원 지하1,2-5,8층 (진천동)",053-609-5000,6,1,1,1,인공+체외
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ3OSQzNjEyMjIjNDEjJDEjJDgjJDgz,대구조이맘산부인과의원,의원,대구,대구중구,"대구광역시 중구 중앙대로 359, 8층 (남산동, 메디칼타워)",053-254-5252,1,1,1,1,인공+체외
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQwMyQ0NjEwMDIjNDEjJDEjJDgjJDgz,대구차여성의원,의원,대구,대구중구,"대구광역시 중구 달구벌대로 2095, 삼성생명 4~5층 (덕산동)",053-222-4200,9,1,1,1,인공+체외
JDQ4MTYyMiM2MSMkMSMkNiMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,대자인병원,종합병원,전북,전주덕진구,"전북특별자치도 전주시 덕진구 견훤로 390, (우아동3가)",063-240-2000,120,1,1,1,인공+체외
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ3MiQ0NjE0ODEjNDEjJDEjJDQjJDgz,더미즈웰산부인과의원,의원,부산,부산북구,"부산광역시 북구 금곡대로 284, (화명동)",051-365-3575,9,1,0,0,인공수정
JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQyIyQ1IyQwMCQzNjEyMjIjNTEjJDEjJDIjJDgz,더블유여성병원,병원,대전,대전서구,"대전광역시 서구 문정로48번길 70, (탄방동)",042-485-7777,10,1,0,0,인공수정
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQxMyQzNjE4MzIjNDEjJDEjJDgjJDgz,더프라임병원,병원,경남,김해시,"경상남도 김해시 경원로55번길 12, 1층~5층,9층 (내동)",055-328-0059,8,1,0,0,인공수정
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQxMyQyNjE4MzIjNjEjJDEjJDgjJDgz,도곡함춘산부인과의원,의원,서울,강남구,"서울특별시 강남구 논현로 142, 동현빌딩 2~6층 (도곡동)",02-1661-9722,5,1,0,0,인공수정
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQ0NjE0ODEjNDEjJDEjJDgjJDgz,동국대학교일산불교병원,종합병원,경기,고양일산동구,"경기도 고양시 일산동구 동국로 27, (식사동, 동국대학교일산병원)",031-1577-7000,151,1,1,1,인공+체외
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ3MiQzNjE4MzIjNTEjJDEjJDYjJDgz,드림아이여성의원,의원,충남,아산시,"충청남도 아산시 배방읍 희망로46번길 45-17, (배방읍)",041-533-6200,3,1,1,1,인공+체외
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQxMyQ0NjE0ODEjNDEjJDEjJDgjJDgz,디온여성의원,의원,경기,화성시,"경기도 화성시 동탄오산로 82, 10층 (오산동, 동탄역퍼스트프라자)",031-304-0060,2,1,1,1,인공+체외
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxMzUxIzMxIyQxIyQ3IyQ5OSQ0NjE0ODEjNzEjJDEjJDgjJDgz,라팡산부인과의원,의원,충남,천안서북구,"충청남도 천안시 서북구 불당21로 67-18, 5층 502호 (불당동)",041-567-7575,1,1,1,1,인공+체외
JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQ4MiQzNjE4MzIjNjEjJDEjJDgjJDgz,로즈메디산부인과의원,의원,울산,울산동구,"울산광역시 동구 방어진순환도로 747, (전하동)",052-234-3575,2,1,0,0,인공수정
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzIxIyQxIyQ5IyQ5MiQ0NjEwMDIjNTEjJDEjJDYjJDgz,루트여성의원,의원,서울,광진구,"서울특별시 광진구 능동로 261, 지하1층, 2~6층 (군자동)",02-6958-5755,7,1,0,0,인공수정
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzIxIyQxIyQ5IyQ5MiQzNjEwMDIjNjEjJDEjJDgjJDgz,리앤아이산부인과의원,의원,인천,인천남동구,"인천광역시 남동구 논고개로 71, 301~303호,401~403호,503호일부호 (논현동, 가산타워 )",270-7777,4,1,0,0,인공수정
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQxMyQ0NjEwMDIjODEjJDEjJDYjJDgz,리오라여성의원,의원,부산,부산진구,"부산광역시 부산진구 중앙대로 736, 3,6,7층 (부전동)",051-714-1930,6,1,1,1,인공+체외
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxOTYxIzMxIyQxIyQzIyQ2MiQyNjE0ODEjNjEjJDEjJDQjJDgz,리즈앤마리안산부인과의원,의원,충남,천안서북구,"충청남도 천안시 서북구 두정로 204, (두정동)",041-523-6100,1,1,0,0,인공수정
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQwMyQzNjEwMDIjODEjJDEjJDYjJDgz,리즈인여성의원,의원,부산,부산진구,"부산광역시 부산진구 새싹로 22-1, 라이프빌리지 7~9층 (부전동)",051-815-3007,1,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQxMyQyNjEyMjIjNDEjJDEjJDQjJDgz,린여성병원,병원,서울,동대문구,"서울특별시 동대문구 답십리로 266, 파워스빌딩 (장안동)",2244-1212,19,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQ3MiQ0NjEwMDIjNjEjJDEjJDQjJDgz,마리나산부인과의원,의원,경기,이천시,"경기도 이천시 경충대로 2564, (중리동)",031-637-0552,11,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzMxIyQxIyQ3IyQwMyQyNjE4MzIjNTEjJDEjJDYjJDgz,마리본산부인과의원,의원,경기,구리시,"경기도 구리시 건원대로 39-1, 마리본산부인과(3층제외) (인창동)",031-551-2700,7,1,0,0,인공수정
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQyIyQ1IyQwMCQzNjEwMDIjODEjJDEjJDIjJDgz,마리아산부인과의원,의원,인천,인천서구,"인천광역시 서구 가정로 358, (가정동)",575-8870,2,1,0,0,인공수정
JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxNzAyIzExIyQxIyQ3IyQ4MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,마마파파베이비산부인과의원,의원,울산,울산남구,"울산광역시 남구 삼산로 247, 15~17층 (달동, 마마파파&베이비빌딩)",052-258-6006,4,1,1,1,인공+체외
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ3MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,맘스여성병원,병원,울산,울산중구,"울산광역시 중구 남외2길 36, (남외동)",052-290-6000,17,1,0,0,인공수정
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ2MiQzNjE0ODEjODEjJDEjJDIjJDgz,맘존여성병원,병원,경북,경주시,"경상북도 경주시 원화로 315, (성동동)",054-743-6688,5,1,0,0,인공수정
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQxMyQzNjEyMjIjNjEjJDEjJDQjJDgz,메디아이여성병원,병원,서울,노원구,"서울특별시 노원구 노원로 448, (상계동, 메디아이여성병원)",02-936-2122,12,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQxIyQ3MiQzNjE4MzIjODEjJDEjJDIjJDgz,메디피아산부인과의원,의원,경기,남양주시,"경기도 남양주시 경춘로 1511, (호평동)",031-595-8400,4,1,0,0,인공수정
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQ1IyQwMyQyNjE0ODEjNDEjJDEjJDgjJDgz,모아제일산부인과의원,의원,경기,김포시,"경기도 김포시 김포한강11로 147, 2-6층 (장기동, 은성프라자)",031-988-7004,4,1,0,0,인공수정
JDQ4MTYyMiM1MSMkMSMkOCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ2MiQzNjEyMjIjNTEjJDEjJDYjJDgz,모태안여성병원,병원,충북,청주서원구,"충청북도 청주시 서원구 복대로17번길 57-0, 모태안여성병원",043-272-0001,9,1,1,1,인공+체외
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQyIyQ3IyQwMCQ0NjE0ODEjNjEjJDEjJDgjJDgz,미라클여성의원,의원,대구,대구중구,"대구광역시 중구 태평로 160, 대구스테이션센터 4층 (북성로1가)",053-424-7700,6,1,1,1,인공+체외
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ4OSQyNjE4MzIjNTEjJDEjJDYjJDgz,미래로병원,병원,부산,부산북구,"부산광역시 북구 금곡대로 15, (덕천동)",051-330-5000,19,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQ3IyQ4OSQzNjEyMjIjNjEjJDEjJDAjJDgz,미래아이산부인과의원,의원,서울,강서구,"서울특별시 강서구 양천로 556, 1-7층 (등촌동, 강서메디칼센터)",02-3665-2002,16,1,0,0,인공수정
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3MiQyNjEyMjIjNDEjJDEjJDgjJDgz,미래여성병원,병원,부산,부산진구,"부산광역시 부산진구 가야대로 459, 지하2~지상10층 (개금동)",051-890-9999,12,1,0,0,인공수정
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ5OSQyNjE0ODEjODEjJDEjJDYjJDgz,미래여성의원,의원,대전,대전서구,"대전광역시 서구 대덕대로176번길 15, 미래여성병원 1,2층 (둔산동)",042-471-7100,4,1,0,0,인공수정
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzUxIyQxIyQxIyQ5MiQzNjEyMjIjNTEjJDEjJDYjJDgz,미래연여성의원,의원,서울,송파구,"서울특별시 송파구 올림픽로35다길 42, 2층 202호 (신천동, 한국루터회관)",02-6012-2220,4,1,1,1,인공+체외
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQ3MiQ0NjEwMDIjODEjJDEjJDIjJDgz,미래와여성산부인과의원,의원,전북,군산시,"전북특별자치도 군산시 문화로 164, (수송동)",063-441-1100,3,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQyIyQ3IyQwMCQyNjEyMjIjODEjJDEjJDYjJDgz,미래와희망산부인과의원,의원,서울,강남구,"서울특별시 강남구 언주로 707, 지하1층~11층 (논현동)",02-3446-0011,16,1,1,1,인공+체외
JDQ4MTYyMiM2MSMkMSMkNiMkOTkkMzgxMzUxIzExIyQxIyQ3IyQwMyQ0NjEwMDIjNjEjJDEjJDAjJDgz,미르피아여성병원,병원,전북,전주완산구,"전북특별자치도 전주시 완산구 쑥고개로 343, (효자동2가)",063-211-1004,8,1,0,0,인공수정
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzUxIyQxIyQxIyQ5OSQ0NjE0ODEjNjEjJDEjJDQjJDgz,미리안산부인과의원,의원,경북,구미시,"경상북도 구미시 구미중앙로 149, 4,5층 (원평동)",054-441-2277,6,1,0,0,인공수정
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQyIyQ1IyQwMCQyNjEwMDIjNjEjJDEjJDgjJDgz,미사린산부인과의원,의원,경기,하남시,"경기도 하남시 미사강변대로34번길 66, 플레이스이안 3, 4층 (풍산동)",031-794-1212,4,1,0,0,인공수정
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxNzAyIzUxIyQxIyQ1IyQ3OSQyNjEyMjIjNzEjJDEjJDgjJDgz,미즈맘 의원,의원,충남,당진시,"충청남도 당진시 당진중앙2로 415, 동성빌딩 2~6.9층 (수청동)",041-355-4800,10,1,0,0,인공수정
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ4OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,미즈메디병원,종합병원,서울,강서구,"서울특별시 강서구 강서로 295, (내발산동)",02-2007-1000,62,1,1,1,인공+체외
JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxOTYxIzQxIyQxIyQ3IyQxMyQyNjE0ODEjNzEjJDEjJDgjJDgz,미즈모아여성의원,의원,경남,양산시,"경상남도 양산시 양산역6길 9, 비와이씨마트 6, 7, 8층 (중부동)",055-365-0202,4,1,0,0,인공수정
JDQ4MTYyMiM1MSMkMiMkOCMkMDAkMzgxOTYxIzQxIyQxIyQ3IyQ3OSQzNjE4MzIjNDEjJDEjJDgjJDgz,미즈산부인과의원,의원,충북,청주청원구,"충청북도 청주시 청원구 오창읍 중심상업로 17, (오창프라자2)",043-241-3030,2,1,0,0,인공수정
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQyIyQ5IyQwMCQyNjE0ODEjNzEjJDEjJDgjJDgz,미즈여성아동병원,병원,전남,순천시,"전라남도 순천시 조례1길 10-26,  (조례동)",061-720-8022,15,1,1,1,인공+체외
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxMTkxIzUxIyQxIyQxIyQ5MiQyNjEwMDIjODEjJDEjJDIjJDgz,미즈의원,의원,대전,대전서구,"대전광역시 서구 문정로2번길 95, 2층 (탄방동, 주안빌딩)",042-488-2255,2,1,1,1,인공+체외
JDQ4MTYyMiM3MSMkMiMkMCMkMDAkMzgxNzAyIzUxIyQxIyQxIyQ5MiQyNjE0ODEjNTEjJDEjJDIjJDgz,박지현산부인과의원,의원,광주,광주광산구,"광주광역시 광산구 장신로 77, 501호 (장덕동)",062-415-8800,1,1,0,0,인공수정
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzMxIyQxIyQ3IyQxMyQzNjE4MzIjNTEjJDEjJDYjJDgz,베일러이화산부인과의원,의원,경기,성남분당구,"경기도 성남시 분당구 성남대로 385, 301호 302호 (정자동, 분당클리닉)",031-710-9670,2,1,0,0,인공수정
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQzIyQ2MiQyNjE0ODEjNjEjJDEjJDAjJDgz,별내마리산부인과의원,의원,경기,남양주시,"경기도 남양주시 별내3로 320, 센트럴프라자 2~6층 (별내동)",031-564-7373,6,1,0,0,인공수정
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQ3IyQ5MiQzNjE0ODEjNDEjJDEjJDgjJDgz,본베베여성의원,의원,부산,부산동래구,"부산광역시 동래구 중앙대로 1325, 이센타워 13층 (온천동)",051-714-6083,1,1,1,1,인공+체외
JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz,부산대학교병원,상급종합,부산,부산서구,"부산광역시 서구 구덕로 179, (아미동1가)",240-7000,283,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjEwMDIjNTEjJDEjJDYjJDgz,분당서울대학교병원,상급종합,경기,성남분당구,"경기도 성남시 분당구 구미로173번길 82, (구미동, 분당서울대학교병원)",031-787-2114,617,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQzIyQxMyQzNjE4MzIjNDEjJDEjJDQjJDgz,분당제일여성병원,병원,경기,성남분당구,"경기도 성남시 분당구 서현로180번길 27, 1~6층 (서현동, 분당제일여성병원)",031-725-8500,36,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzQxIyQxIyQ3IyQ4MiQzNjE0ODEjODEjJDEjJDIjJDgz,사랑아이여성의원,의원,서울,송파구,"서울특별시 송파구 백제고분로 69, 2,3층 (잠실동, 애플타워)",02-419-7501,6,1,1,1,인공+체외
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzUxIyQxIyQ1IyQ3MiQyNjEyMjIjNjEjJDEjJDQjJDgz,삼성미래산부인과의원,의원,경기,부천원미구,"경기도 부천시 원미구 부흥로 270, 1~6층, 부흥로 268, 1~3층, 5~6층 (중동)",032-662-6100,11,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ3OSQ0NjE0ODEjNDEjJDEjJDQjJDgz,삼성미래여성병원,병원,서울,구로구,"서울특별시 구로구 서해안로 2296, 삼성미래여성병원 (오류동)",02-2682-2100,12,1,1,1,인공+체외
JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ5OSQzNjE4MzIjNTEjJDEjJDYjJDgz,삼성미즈병원,병원,충남,아산시,"충청남도 아산시 배방읍 희망로46번길 16, 지하1~4층, 지상2~6층,10층",1600-8383,14,1,0,0,인공수정
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQxIyQxIyQ3MiQ0NjEwMDIjNTEjJDEjJDIjJDgz,삼성미즈산부인과의원,의원,인천,인천부평구,"인천광역시 부평구 부평대로 93, 2,3층 (부평동)",032-516-3838,1,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjODEjJDEjJDIjJDgz,삼성서울병원,상급종합,서울,강남구,"서울특별시 강남구 일원로 81, (일원동, 삼성의료원)",02-3410-2114,918,1,1,1,인공+체외
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQ3IyQ3MiQzNjEwMDIjODEjJDEjJDYjJDgz,삼성제일산부인과의원,의원,부산,부산해운대구,"부산광역시 해운대구 해운대로 369, 5층 (우동, 해운대센텀메디칼센타)",051-747-3999,2,1,1,1,인공+체외
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ3MiQyNjEyMjIjNDEjJDEjJDgjJDgz,새란산부인과의원,의원,전북,전주완산구,"전북특별자치도 전주시 완산구 홍산로 250, 601,602호 (효자동3가)",063-227-0135,1,1,1,1,인공+체외
