암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수,좌표(X),좌표(Y),장비코드명,장비대수
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjODEjJDEjJDIjJDgz,가톨릭대학교 여의도성모병원,11,종합병원,110000,서울,110013,영등포구,여의도동,7345,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",1661-7575,http://www.cmcujb.or.kr/,1986-08-20,144,0,1,9,132,0,0,0,2,0,0,0,0,0,126.9367517,37.5183253,인큐베이터,21
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEwMDIjNDEjJDEjJDQjJDgz,가톨릭대학교 은평성모병원,11,종합병원,110000,서울,110015,은평구,진관동,3312,"서울특별시 은평구 통일로 1021, (진관동)",02-1811-7755,http://www.cmcep.or.kr/,1961-05-15,226,1,1,5,215,0,0,0,4,0,0,0,0,0,126.9161912,37.6334945,인큐베이터,22
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNDEjJDEjJDQjJDgz,가톨릭대학교부천성모병원,11,종합병원,310000,경기,310303,부천원미구,소사동,14647,"경기도 부천시 원미구 소사로 327, 가톨릭대학교 부천성모병원 (소사동)",032-1577-0675,http://www.cmcbucheon.or.kr,1983-11-08,163,0,0,7,147,3,0,0,6,0,0,0,0,0,126.7924167,37.4871165,인큐베이터,18
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,가톨릭대학교의정부성모병원,11,종합병원,310000,경기,310800,의정부시,금오동,11765,"경기도 의정부시 천보로 271, 의정부성모병원 (금오동)",1661-7500,http://www.cmcujb.or.kr/,1971-12-30,177,1,1,4,168,0,0,0,3,0,0,0,0,0,127.0777625,37.7587045,인큐베이터,27
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNDEjJDEjJDgjJDgz,가톨릭대학교인천성모병원,1,상급종합,220000,인천,220003,인천부평구,부평동,21431,"인천광역시 부평구 동수로 56, (부평동)",032-1544-9004,http://www.cmcism.or.kr/,1981-08-06,255,3,1,4,243,1,0,0,3,0,0,0,0,0,126.7248987,37.4848309,인큐베이터,15
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ4MiQzNjEwMDIjNjEjJDEjJDAjJDgz,강남여성병원,21,병원,310000,경기,310603,수원팔달구,인계동,16471,"경기도 수원시 팔달구 중부대로 96, (인계동)",031-222-7575,http://gangnamhospital.co.kr/,1995-07-13,10,0,0,0,10,0,0,0,0,0,0,0,0,0,127.0275151,37.2767458,인큐베이터,1
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQzNjE4MzIjNDEjJDEjJDQjJDgz,강동경희대학교의대병원,11,종합병원,110000,서울,110002,강동구,상일동,5278,"서울특별시 강동구 동남로 892, (상일동)",02-440-7114,http://www.khnmc.or.kr,2006-02-27,212,7,0,5,199,0,0,0,1,0,0,0,0,0,127.1576732,37.5535361,인큐베이터,19
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzQxIyQxIyQ3IyQ4MiQyNjE4MzIjNDEjJDEjJDgjJDgz,강동드림산부인과의원,31,의원,110000,서울,110002,강동구,강일동,5285,"서울특별시 강동구 상일로12길 97, (상일제2동)",02-441-4567,,2018-12-07,4,0,0,0,4,0,0,0,0,0,0,0,0,0,127.172652,37.5568629,인큐베이터,1
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,강릉아산병원,1,상급종합,320000,강원,320100,강릉시,사천면,25440,"강원특별자치도 강릉시 사천면 방동길 38, (사천면)",033-610-3114,http://www.gnah.co.kr,1996-07-30,175,7,0,11,155,0,0,0,2,0,0,0,0,0,128.8578411,37.8184325,인큐베이터,15
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,강북삼성병원,1,상급종합,110000,서울,110016,종로구,평동,3181,"서울특별시 종로구 새문안로 29, (평동)",02-2001-2001,http://www.kbsmc.co.kr,1979-03-24,289,0,5,17,259,4,0,0,4,0,0,0,0,0,126.96775,37.5684083,인큐베이터,14
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNTEjJDEjJDYjJDgz,강원대학교병원,11,종합병원,320000,강원,320500,춘천시,효자동,24289,"강원도 춘천시 백령로 156, (효자동)",033-258-2000,http://www.knuh.or.kr/main/main.asp,1982-07-08,172,2,1,13,155,0,0,0,1,0,0,0,0,0,127.744891,37.8751611,인큐베이터,23
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNDEjJDEjJDQjJDgz,강원특별자치도삼척의료원,11,종합병원,320000,강원,320700,삼척시,남양동,25920,"강원특별자치도 삼척시 오십천로 418-0, 삼척의료원",033-572-1141,http://www.ksmc.or.kr,1983-07-01,31,3,0,0,26,2,0,0,0,0,0,0,0,0,129.1638017,37.4403018,인큐베이터,4
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE0ODEjNDEjJDEjJDgjJDgz,강원특별자치도속초의료원,11,종합병원,320000,강원,320300,속초시,영랑동,24821,"강원특별자치도 속초시 영랑호반길 3, (영랑동)",033-630-6000,http://www.sokchomc.co.kr,1983-07-01,18,1,0,0,15,2,0,0,0,0,0,0,0,0,128.5892485,38.2164607,인큐베이터,2
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjODEjJDEjJDIjJDgz,강원특별자치도영월의료원,11,종합병원,320000,강원,320006,영월군,영월읍,26234,"강원특별자치도 영월군 영월읍 중앙1로 59, (영월읍)",033-370-9149,http://www.youngwol.org/,1983-07-01,23,0,0,0,21,1,0,0,1,0,0,0,0,0,128.4652388,37.1864525,인큐베이터,3
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEyMjIjNTEjJDEjJDYjJDgz,거창적십자병원,21,병원,380000,경남,380002,거창군,거창읍,50132,"경상남도 거창군 거창읍 중앙로 91, (거창읍)",055-944-3251,http://www.rch.or.kr/geochang,1974-09-03,15,1,0,0,14,0,0,0,0,0,0,0,0,0,127.9087378,35.6867599,인큐베이터,2
JDQ4MTYyMiM1MSMkMSMkOCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE4MzIjNjEjJDEjJDgjJDgz,건국대학교 충주병원,11,종합병원,330000,충북,330200,충주시,교현동,27376,"충청북도 충주시 국원대로 82-0, 건국대학교충주병원",043-840-8200,http://www.kuh.co.kr,1989-07-25,47,0,0,0,46,1,0,0,0,0,0,0,0,0,127.9288169,36.9789801,인큐베이터,5
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjE4MzIjNjEjJDEjJDQjJDgz,건국대학교병원,1,상급종합,110000,서울,110023,광진구,화양동,5030,"서울특별시 광진구 능동로 120-1, (화양동)",1588-1533,http://www.kuh.ac.kr,1982-11-16,252,1,0,22,228,0,0,0,1,0,0,0,0,0,127.0718276,37.5403764,인큐베이터,18
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQxIyQ5OSQzNjE4MzIjNTEjJDEjJDIjJDgz,검단서울여성의원,31,의원,220000,인천,220005,인천서구,당하동,22677,"인천광역시 서구 원당대로 664, 창신프라자 5층 501-1호 (당하동)",032-566-1992,http://www.imiraean.com,2009-01-12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.6749917,37.5933197,인큐베이터,2
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjEwMDIjNzEjJDEjJDgjJDgz,경기도의료원포천병원,11,종합병원,310000,경기,312800,포천시,신읍동,11142,"경기도 포천시 포천로 1648, (신읍동)",031-539-9114,http://www.pomc.or.kr,1987-04-24,25,1,0,0,23,0,0,0,1,0,0,0,0,0,127.19828,37.9033163,인큐베이터,3
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxNzAyIzUxIyQxIyQxIyQ4OSQ0NjEwMDIjNjEjJDEjJDgjJDgz,경대여성산부인과의원,31,의원,230000,대구,230002,대구동구,방촌동,41146,"대구광역시 동구 동촌로 303, 2,3,4,6층 (방촌동)",053-982-2242,,2006-01-31,1,0,0,0,1,0,0,0,0,0,0,0,0,0,128.6728594,35.8791574,인큐베이터,1
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNzEjJDEjJDgjJDgz,경북대학교병원,1,상급종합,230000,대구,230006,대구중구,삼덕동2가,41944,"대구광역시 중구 동덕로 130, (삼덕동2가, 경북대학교병원)",053-200-5114,http://knumc.knu.ac.kr,1910-09-07,221,2,0,18,200,0,0,0,1,0,0,0,0,0,128.604703,35.8662525,인큐베이터,11
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQxIyQ5IyQ4MiQzNjEyMjIjNzEjJDEjJDgjJDgz,경산산부인과의원,31,의원,370000,경북,371000,경산시,중방동,38623,"경상북도 경산시 중앙로 63, 2층 (중방동)",053-816-7582,,1997-05-27,2,0,0,0,2,0,0,0,0,0,0,0,0,0,128.7338083,35.8226853,인큐베이터,1
JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNjEjJDEjJDQjJDgz,경상국립대학교병원,1,상급종합,380000,경남,380500,진주시,칠암동,52727,"경상남도 진주시 강남로 79, (칠암동)",055-750-8000,http://www.gnuh.co.kr/,1986-10-13,188,0,1,10,175,0,0,0,2,0,0,0,0,0,128.0964924,35.1759944,인큐베이터,37
JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjODEjJDEjJDYjJDgz,경상남도마산의료원,11,종합병원,380000,경남,380702,창원마산합포구,중앙동3가,51736,"경상남도 창원시 마산합포구 3·15대로 231, (중앙동3가)",055-249-1000,http://www.mmc.or.kr,1984-02-23,22,0,0,0,22,0,0,0,0,0,0,0,0,0,128.5655967,35.1992371,인큐베이터,1
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQ0NjEwMDIjNjEjJDEjJDAjJDgz,경상북도김천의료원,11,종합병원,370000,경북,370300,김천시,모암동,39579,"경상북도 김천시 모암길 24,  (모암동)",054-432-8901,http://www.gcmc.or.kr,1966-04-26,46,4,0,0,40,1,0,0,1,0,0,0,0,0,128.1264391,36.1227232,인큐베이터,3
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE0ODEjNDEjJDEjJDgjJDgz,경상북도포항의료원,11,종합병원,370000,경북,370702,포항북구,용흥동,37688,"경상북도 포항시 북구 용흥로 36,  (용흥동)",054-247-0551,http://www.pmc.or.kr,1978-07-27,27,3,0,0,22,2,0,0,0,0,0,0,0,0,129.3549409,36.0348814,인큐베이터,2
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE4MzIjNjEjJDEjJDgjJDgz,경찰병원,11,종합병원,110000,서울,110018,송파구,가락동,5715,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",02-3400-1114,http://www.nph.go.kr,1971-02-20,72,0,2,6,61,0,0,0,3,0,0,0,0,0,127.123509,37.4963836,인큐베이터,1
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEyMjIjODEjJDEjJDIjJDgz,경희대학교병원,1,상급종합,110000,서울,110007,동대문구,회기동,2447,"서울특별시 동대문구 경희대로 23, (회기동)",02-958-8114,http://www.khuh.or.kr/,1971-10-05,253,10,2,10,231,0,0,0,0,0,0,0,0,0,127.051852,37.5941195,인큐베이터,14
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQzNjEwMDIjNjEjJDEjJDgjJDgz,계명대학교대구동산병원,11,종합병원,230000,대구,230006,대구중구,동산동,41931,"대구광역시 중구 달성로 56, 계명대학교대구동산병원 (동산동)",053-250-8114,,2019-03-29,36,2,0,0,33,0,0,0,1,0,0,0,0,0,128.5831323,35.8694728,인큐베이터,2
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNjEjJDEjJDQjJDgz,계명대학교동산병원,1,상급종합,230000,대구,230007,대구달서구,신당동,42601,"대구광역시 달서구 달구벌대로 1035, (신당동)",1577-6622,http://www.dsmc.or.kr/,1968-04-06,245,7,0,6,228,1,0,0,3,0,0,0,0,0,128.4801315,35.8538856,인큐베이터,50
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,고려대학교의과대학부속구로병원,1,상급종합,110000,서울,110005,구로구,구로동,8308,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",02-2626-1114,http://guro.kumc.or.kr/main/index.do,1983-08-31,374,2,3,18,317,0,6,18,10,0,0,0,0,0,126.8848701,37.492052,인큐베이터,19
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjEwMDIjNTEjJDEjJDIjJDgz,고려대학교의과대학부속안산병원,1,상급종합,310000,경기,311101,안산단원구,고잔동,15355,"경기도 안산시 단원구 적금로 123, (고잔동)",031-1577-7516,http://ansan.kumc.or.kr/main/index.do,1986-01-01,284,7,1,17,253,0,0,0,6,0,0,0,0,0,126.8249033,37.3185144,인큐베이터,24
JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjODEjJDEjJDYjJDgz,고신대학교복음병원,1,상급종합,210000,부산,210006,부산서구,암남동,49267,"부산광역시 서구 감천로 262, (암남동)",990-6114,http://www.kosinmed.or.kr/,1974-02-26,187,1,1,6,174,3,0,0,2,0,0,0,0,0,129.0139595,35.0809636,인큐베이터,25
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQ5MiQyNjE4MzIjNjEjJDEjJDgjJDgz,고은빛산부인과의원,31,의원,110000,서울,110018,송파구,방이동,5548,"서울특별시 송파구 오금로 95, 국제빌딩 지하1층, 2~8층 (방이동)",02-421-3030,,2011-07-01,10,0,0,0,10,0,0,0,0,0,0,0,0,0,127.1077249,37.5137648,인큐베이터,2
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ5MiQ0NjE0ODEjNTEjJDEjJDIjJDgz,고은여성병원,21,병원,220000,인천,220001,인천미추홀구,숭의동,22173,"인천광역시 미추홀구 독배로 463, (숭의동)",032-870-5000,http://www.kehospital.com,2011-01-31,10,1,0,0,9,0,0,0,0,0,0,0,0,0,126.6471018,37.4600706,인큐베이터,2
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ5IyQ3OSQzNjE4MzIjNDEjJDEjJDgjJDgz,곽생로 여성의원,31,의원,220000,인천,220007,인천연수구,송도동,21998,"인천광역시 연수구 테크노파크로111번길 4, 드 메티스 빌딩 1층 일부호 2~5층 (송도동)",032-858-7117,,2024-04-01,5,0,0,0,5,0,0,0,0,0,0,0,0,0,126.6442443,37.3860347,인큐베이터,1
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEyMjIjODEjJDEjJDIjJDgz,광명성애병원,11,종합병원,310000,경기,310100,광명시,철산동,14241,"경기도 광명시 디지털로 36, 광명성애병원 (철산동)",02-2680-7114,http://www.ksungae.co.kr/Index.asp,1983-12-09,86,1,4,20,58,2,0,0,1,0,0,0,0,0,126.8713502,37.4736659,인큐베이터,5
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ5OSQzNjEwMDIjNDEjJDEjJDQjJDgz,광안자모병원,21,병원,210000,부산,210014,부산수영구,광안동,48261,"부산광역시 수영구 수영로 555, (광안동)",051-760-0600,,1995-03-13,13,0,0,0,13,0,0,0,0,0,0,0,0,0,129.1121443,35.1553451,인큐베이터,6
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxOTYxIzIxIyQxIyQ5IyQ5OSQyNjE0ODEjNTEjJDEjJDIjJDgz,광제산부인과의원,31,의원,340000,충남,340201,천안서북구,성정동,31134,"충청남도 천안시 서북구 서부18길 23, (성정동)",041-575-3200,,1993-04-27,2,0,0,0,2,0,0,0,0,0,0,0,0,0,127.1403438,36.8242839,인큐베이터,1
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNDEjJDEjJDQjJDgz,광주기독병원,11,종합병원,240000,광주,240005,광주남구,양림동,61661,"광주광역시 남구 양림로 37,  (양림동)",062-650-5000,http://www.kch.or.kr,1983-03-29,120,6,1,9,102,0,0,0,2,0,0,0,0,0,126.911875,35.136665,인큐베이터,15
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzExIyQxIyQzIyQxMyQzNjE4MzIjODEjJDEjJDYjJDgz,구세산부인과의원,31,의원,210000,부산,210006,부산서구,충무동1가,49247,"부산광역시 서구 구덕로 114, (충무동1가)",051-253-5555,,2009-08-05,5,0,0,0,5,0,0,0,0,0,0,0,0,0,129.0238409,35.0967414,인큐베이터,1
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQzNjE0ODEjNDEjJDEjJDgjJDgz,국립암센터,11,종합병원,310000,경기,311903,고양일산동구,마두동,10408,"경기도 고양시 일산동구 일산로 323, (마두동)",031-920-0114,http://www.ncc.re.kr,2000-09-08,206,10,0,3,184,0,0,5,4,0,0,0,0,0,126.7834097,37.6632301,인큐베이터,1
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQyNjEwMDIjODEjJDEjJDIjJDgz,국립중앙의료원,11,종합병원,110000,서울,110017,중구,을지로6가,4564,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",02-2260-7114,http://www.nmc.or.kr,2010-04-02,178,1,5,29,131,0,0,0,5,0,0,3,4,0,127.005671,37.5672138,인큐베이터,2
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQzNjE4MzIjODEjJDEjJDIjJDgz,국민건강보험공단일산병원,11,종합병원,310000,경기,311903,고양일산동구,백석동,10444,"경기도 고양시 일산동구 일산로 100, (백석동,백석1동 1241외1필지 4층)",1577-0013,http://www.nhimc.or.kr,2000-01-18,231,1,0,0,199,0,5,16,10,0,0,0,0,0,126.7930401,37.6454754,인큐베이터,27
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMzUxIzQxIyQxIyQ3IyQ2MiQyNjE4MzIjODEjJDEjJDYjJDgz,군산우리들소아청소년과의원,31,의원,350000,전북,350100,군산시,나운동,54139,"전북특별자치도 군산시 공단대로 388, 2층 (나운동)",063-468-3333,,2001-08-04,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.6995086,35.9624474,인큐베이터,1
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzIxIyQxIyQ5IyQ5MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,그녀의정원여성의원,31,의원,110000,서울,110001,강남구,역삼동,6230,"서울특별시 강남구 언주로 303, 지하2층 (역삼동)",02-3453-2855,,2011-09-20,2,0,0,0,2,0,0,0,0,0,0,0,0,0,127.0461347,37.4946081,인큐베이터,1
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ3MiQyNjEyMjIjNzEjJDEjJDgjJDgz,그레이스병원,21,병원,310000,경기,311903,고양일산동구,백석동,10447,"경기도 고양시 일산동구 중앙로 1073, (지하2층,지하1층,1층중일부,2~9층)/중앙로1071(1층중 일부, 2~4층) (백석동)",031-901-4000,www.grace-hospital.com/,1999-01-07,28,0,0,0,25,0,0,0,0,0,0,0,0,3,126.7851165,37.6447672,인큐베이터,6
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQyIyQxIyQwMCQzNjEwMDIjNTEjJDEjJDYjJDgz,그린산부인과의원,31,의원,220000,인천,220005,인천서구,가좌동,22806,"인천광역시 서구 건지로 371, (가좌동)",032-574-3535,,2002-11-18,7,0,0,0,7,0,0,0,0,0,0,0,0,0,126.6831268,37.4969488,인큐베이터,2
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEyMjIjNDEjJDEjJDgjJDgz,근로복지공단 태백병원,11,종합병원,320000,강원,320600,태백시,장성동,26052,"강원특별자치도 태백시 보드미길 8, (장성동)",033-580-3114,http://www.kcomwel.or.kr/hospital/taebaek/index.jsp,1977-05-01,18,0,0,0,18,0,0,0,0,0,0,0,0,0,129.0043366,37.1040964,인큐베이터,2
